Title,endereco,fone,whatsapp,instagram,site
"Carrocerias Unaí","Rua Graúna, 200 - Unaí - MG","(38) 3676-7225",,,
"Carrocerias Wandy","Rod Br 51, 420 - Unaí - MG","(38) 3676-4499",,,
"Cartório de Registro Civil de Pessoas Naturais de Unaí","Rua Aldeia, 227 - Unaí - MG","(38) 3676-9464",,,
"Cartório de Registro de Imóveis","Rua Roncador, 203 - Unaí - MG","(38) 3676-1232",,,
"Cartório do 1° Oficio de Notas","Rua José do Patrocínio, 667 - Unaí - MG","(38) 3676-1760",,,
"Cartório de Registro de Titulos e Documentos e Civil de Pessoas Jurídicas","Rua Canabrava, 328 - Unaí - MG","(38) 3676-9637",,,
"Carvalho e Caetano Empreendimentos","Rua Ouvidor, 183 - Unaí - MG","(38) 3676-4182",,,
"Casa Amaral","Avenida Governador Valadares, 563 - Unaí - MG","(38) 3676-1284",,,
"Casa Bella - Colchões, Eletrodomésticos","Avenida Governador Valadares, 774 - Unaí - MG","(38) 3676-6261",,,
"Casa Borges Calçados e Confecções","Avenida Governador Valadares, 1223 - Unaí - MG","(38) 3676-2442",,,
"Casa Carajas","Avenida Governador Valadares, 22 - Unaí - MG","(38) 3676-2533",,,
"Casa Central Mercearia","Rua Calixto Martins de Melo, 30 - Unaí - MG","(38) 3676-1759",,,
"Casa Costa","Rua Canabrava, 80 - Unaí - MG","(38) 3676-212719",,,
"Casa da Borracha","Rua São José, 637 - Unaí - MG","(38) 3676-8060",,,
"Borrachas Avenida","Avenida Governador Valadares, 564 - Unaí - MG","(38) 3676-3211","(38) 98836-3211",https://www.instagram.com/borrachas_avenida,
"Casa das Rações  - Pet Shop e Veterinária","Avenida Governador Valadares, 1432 - Unaí - MG","(38) 99913-1388","(38) 9913-1388",https://www.instagram.com/casadasracoesunaimg,
"Casa das Baterias","R. Herculano Oliveira e Silva, 34 - Unaí, MG","(38) 99920-0976","(38) 99920-0976",https://www.instagram.com/casadasbateriasunai,
"Casa de Apoio a Gestante","Avenida Martinho Leite, 645 - Unaí - MG","(38) 3677-4966",,,
"Casa de Carnes Caldeira","Rua Arminda Rangel, 13 - Unaí - MG","(38) 3676-6976",,,
"Casa de Carnes Dona Nenzica","Rua Canabrava, 1001 - Unaí - MG","(38) 3676-1985",,,
"Casa de Carnes Pantanal","Rua Cajaranas, 320 - Unaí - MG","(38) 3676-2498",,,
"Casa de Carnes Pimenta","Avenida Transamazônica, 124 - Unaí - MG","(38) 3676-2542",,,
"Casa de Carnes Planalto","Rua Frei CecílioUnaí - MG",617,,,
"Casa de Carnes Porco Fino","Avenida Governador Valadares, 101 - Unaí - MG","(38) 3676-3660",,,
"Casa de Carnes Xavantina","Rua Marechal Rondom, 224 - Unaí - MG","(38) 3676-3109",,,
"Hospital Santa Mônica","Avenida José Luiz Adjuto, 325 - Centro - Unaí - MG","(38) 3677-9700","(38) 99961-6606",https://www.instagram.com/santamonicaunai,https://santamonicaunai.com.br
"Casa do Caçador","Avenida Governador Valadares, 577 - Unaí - MG","(38) 3676-1874",,,
"Casa do Ciclista","Rua Aldeia, 36 - Unaí - MG","(38) 3676-1591",,,
"Casa do Computador","Avenida José Luiz Adjuto, 655 - Unaí - MG","(38) 3677-4417",,,
"Casa do EPI","Rua João Pinheiro, 33 - Unaí - MG","(38) 3676-2611",,,www.epiminas.com.br
"Casa do Marceneiro - Tintas","Rua Melo Viana, 821 - Unaí - MG","(38) 3676-5717",,,
"Casa do Pão de Queijo","R. Francisco Rodrigues da Silva, 284 - Cruzeiro - Unaí, MG","(38) 99807-0471","(38) 99807-0471",https://www.instagram.com/casadopaodequeijounai,https://www.instagram.com/casadopaodequeijounai
"Casa do Peregrino","Rua Paracatu, 508 - Unaí - MG","(38) 3676-3379",,,
"Casa do Pintor","Rua Prefeito João Costa, 1184 - Unaí - MG","(38) 3676-5220",,,
"Casa do Produtor Rural","Avenida Castelo Branco, 214 - Unaí - MG","(38) 3676-9899",,,
"Casa do Queijo Filé","Rua Arminda Rangel, 57 - Unaí - MG","(38) 3676-2044",,,
"Casa dos Extintores","Rua Prefeito João Costa, 966 - Unaí - MG","(38) 3676-6901",,,
"Casa Dragão","Avenida Governador Valadares, 1035 - Unaí - MG","(38) 3676-2987",,,
"Casa Martins","Avenida Governador Valadares, 1060 - Unaí - MG","(38) 3676-4626",,,
"Casa Moura","Av. Governador Valadares, 1000 - Centro - Unaí, MG","(38) 3676-1252",,https://www.instagram.com/casamourastore,
"Casa Rio Preto","Rua Celina Lisboa Frederico, 12 - Unaí - MG","(38) 3676-1193",,,
"Casa Santana","Avenida Governador Valadares, 760 - Unaí - MG","(38) 3676-1977",,,
"Tecidos Santana","Avenida Governador Valadares, 699 - Unaí - MG","(38) 3676-2558",,,
"Tecidos União","Avenida Governador Valadares, 740 - Unaí - MG","(38) 3676-2208",,,
"Casanova Enxovais e Presentes","Rua Nossa Senhora do Carmo, 385 - Unaí - MG","(38) 3676-1726",,,
"Casemg - Companhia de Armazéns e Silos de Minas Gerais","Rodovia Br 251Unaí - MG","(38) 3676-1520",,,
"CCAA - Centro Cultural Anglo Americano","Rua Nossa Senhora do Carmo, 224 - Unaí - MG","(38) 3677-6060",,,
"CCR Contabilidade","Rua Celina Lisboa Frederico, 111 - Centro - Unaí - MG","(38) 3676-1592",,,
"CDI - Centro de Diagnóstico por Imagem","Rua João Pinheiro, 571 - Centro - Unaí - MG","(38) 3676-6958",,,www.cdiunai.com.br
"CCBA - Correia Comércio de Bebidas e Alimentos","Avenida Governador Valadares, 2610 - Unaí - MG","(38) 3676-1397",,,
"Salão de Beleza Cecita Cabeleireira","Avenida José Luiz Adjuto, 650 - Centro - Unaí - MG","(38) 3676-3754",,,
"CEM - Centro Educacional do Menor","Rua Frei Cecílio, 26 - Cachoeira - Unaí - MG","(38) 3676-0477",,,
Cenarium,"Rua São José, 29 - Unaí - MG","(38) 3676-6861",,,
"Supermercado Bretas - Cencosud","Rua Natal Justino da Costa, 483 - Unaí - MG","(38) 2102-3100",,,
"Center Cell","Rua Celina Lisboa Frederico, 294 - Unaí - MG","(38) 3676-4464",,,
"Central Cópias","Rua Canabrava, 181 - Centro - Unaí - MG","(38) 3676-6046","(38) 99944-6046",https://www.instagram.com/centralcopiasunai,
"Elétrica Central","Avenida Governador Valadares, 1911 - Unaí - MG","(38) 3676-7823","(38) 99943-6065",,
"Central Ferragens","Avenida Governador Valadares, 1964 - Unaí - MG","(38) 3676-2159",,,
"Central Gesso e Decorações","Rua Djalma Torres, 557 - Unaí - MG","(38) 3677-3637",,,
"Central Moto Serra","Rua Paracatu, 134 - Unaí - MG","(38) 3676-2281",,,
"Central Vidros - Vidraçaria","Avenida Governador Valadares, 1922 - Unaí - MG","(38) 3676-3950",,,
"Centro Automotivo THD","Rua Águas Marinhas, 150 - Unaí - MG","(38) 3676-5701",,,
"Centro Catequético","Rua Roncador, 330 - Unaí - MG","(38) 3676-1107",,,
"Centro Cultura Senzala de Capoeira","Rua Zaida Torres, 45 - Unaí - MG","(38) 3676-7918",,,
"Centro de Diagnóstico Ocular","Rua José do Patrocínio, 660 - Unaí - MG","(38) 3677-1995",,,
"Centro de Estética Espaço do Corpo","Rua Afonso Pena, 430 - Unaí - MG","(38) 3677-4479",,,
"Auto Escola Souza","Avenida José Luiz Adjuto, 369 - Unaí - MG","(38) 3676-5763",,,
"Auto Escola Rio Preto","Rua José do Patrocínio, 732 - Centro - Unaí - MG","(38) 3676-4067",,,
"Auto Escola Noroeste","Rua Alba Gonzaga, 360 - Unaí - MG","(38) 3676-1951",,,
"Auto Escola Oi","Avenida Governador Valadares, 2210 - Unaí - MG","(38) 3676-8889",,,
"Auto Escola Promove","Avenida José Luiz Adjuto, 41 - Unaí - MG","(38) 3676-6999",,,
"Auto Escola Unaí","Rua Djalma Torres, 274 - Centro - Unaí - MG","(38) 3676-3648",,,
"Auto Escola Santa Helena","Rua Aldeia, 20 - Unaí - MG","(38) 3676-2872",,,www.carteiranamao.com.br
"Centro Estético Corpo a Corpo","Avenida Vereador João Narciso, 310 - Unaí - MG","(38) 3676-2689",,,
"Cepasa - Centro Polivalente de Atividades Sociais Culturais","Rua Domingos Pinto Brochado, 324 - Unaí - MG","(38) 3676-9782",,,www.cepasaunai.com.br
"Cerâmica Barro Preto","Rodovia Br 251, 250 - Unaí - MG","(38) 3676-5259",,,
"Cerâmica Machadão","Rodovia Mg 028, km 3 - Unaí - MG","(38) 3676-2772",,,
"Cerâmica Rio Preto","Rua Júlio Ribeiro Santos, 655 - Unaí - MG","(38) 3676-2897",,,
"Pedro Araújo e Advogados Associados","Rua João Pinheiro, 529 - Unaí - MG","(38) 3676-2005",,,
"Advocacia Deusdelio Fernandes de Jesus","Avenida José Luiz Adjuto, 110 - Centro - Unaí - MG","(38) 3676-1095",,,
"J Lindomar Coelho Advogados Associados","Rua Celina Lisboa Frederico, 69 - Unaí - MG","(38) 3676-1445",,,www.jlindomaradv.com.br
"Semelc - Sistemas de Segurança","Rua Natal Justino da Costa, 918 - Unaí-MG","(38) 3676-5677","(38) 98802-0204",,
"Protec Vigilância Eletrônica","Avenida Belo Horizonte, 399 - Unaí - MG","(38) 3676-0102",,,
"Cereais Agropantaleão","Praça Getúlio Vargas, 179 - Unaí - MG","(38) 3677-1972",,,
"Cerealista Cruzeiro Comércio e Transporte","Avenida Governador Valadares, 290 - Unaí - MG","(38) 3676-4106",,,
"Cerealista Minas Brasil","Avenida Governador Valadares, 256 - Unaí - MG","(38) 3676-1354",,,
"Almeida &amp; Bagno Advogados Associados","Av. Belo Horizonte, 538 - Cruzeiro, Unaí - MG","(38) 3676-1502",,,
"Cereais Mais","Borboletas, 61 - Unaí - MG",,,,
"Cerais Santa Branca","Rua Arlindo Gomes Branquinho, 1311 A - Unaí - MG","(38) 3676-2225",,,
"Cerealista J Araxá","Avenida Governador Valadares, 290 - Centro - Unaí - MG","(38) 3676-4106",,,
"Alexandra Rocha Cerimonial","Rua Alba Gonzaga, 823 - Unaí - MG","(38) 3676-7468",,,
"Cerrado Verde Sistemas de Irrigação","Rua Juvêncio Correio, 275 - Unaí - MG","(38) 3676-1617",,,
"CGG Trading SA","Rua José do Patrocínio, 440 - Unaí - MG","(38) 3676-4490",,,
"Chácaras Executivo","Rodovia Br 251, km 980 - Unaí - MG","(38) 99979-6723",,,
"Charrua Defensivos Agrícolas e Sementes","Avenida Governador Valadares, 136 - Unaí - MG","(38) 3676-3121",,,
"Chaveiro Aliança","Rua São José, 235 - Unaí - MG","(38) 3676-8292",,,
"Chaveiro Central","Rua São José, 430 - Unaí - MG","(38) 3676-7442","(38) 99964-7881",,
"Eletro Chaveiro Unaí","Avenida Castelo Branco, 23 - Unaí - MG","(38) 3676-4353",,,
"Chaveiro Triângulo","Rua Frei Supriano, 02 - Unaí - MG","(38) 99921-9832",,,
"Checar Veículos","Avenida São João, 692 - Divinéia - Unaí - MG","(38) 3677-4326",,,
"Chell Elétrica","Avenida Castelo Branco, 22 - Unaí - MG","(38) 3676-1222",,,
"Chicago Diesel - Bombas Injetoras","Rodovia Br 251, Lateral A, 292 - Unaí - MG","(38) 3676-4515",,,
"Chiquito Cabeleireiro","Rua Celina Lisboa Frederico, 64 - Unaí - MG","(38) 3676-6407",,,
Chocomel,"Avenida Tancredo Neves, 201 - Unaí - MG","(38) 3677-5958",,,
"Cisco Materiais para Construção","R. Canadá, 106 - De Lourdes, Unaí - MG","(38) 3676-1982","(38) 99852-1982",https://www.instagram.com/ciscounai,
"Casa Chalé","Posto Novo Horizonte BR-251 - Kamayura, Unaí - MG","(38) 99738-1879","(38) 99738-1879",https://www.instagram.com/casachaleunai,https://casachaleunai.com.br
"Chumbinho Motos","Rua Paracatu, 5 - Unaí - MG","(38) 3676-4631",,,
"Restaurante e Choperia Tonel","R. Celina Lisboa Frederico, 79 - Centro, Unaí - MG","(38) 3676-4347",,https://www.instagram.com/tonelrestauranteunai,
"Churrascaria Planalto","Avenida Governador Valadares, 1312 - Unaí - MG","(38) 3676-8799",,,
"Cia do Chopp","Rua Nossa Senhora do Carmo, 528 - Unaí - MG","(38) 3677-6007",,,
"Cia Presentes - Leo Celular","Rua Matias Nunes Souza, 240 - Unaí - MG","(38) 3676-3305",,,
"Cimento Agropecuária Caxambu","Rod Mg 188, 500 - Unaí - MG","(38) 3677-1919",,,
"Cimento Cimekal","Rua Domingos Pinto Brochado, 241 - Itapuã - Unaí - MG","(38) 3676-5741",,,
"Cinderela Noivas","Rua Eli Pinto de Carvalho, 68 - Unaí - MG","(38) 3676-2753",,,
"Cirurgião Dentista Dr Raulindo Rabelo Filho","Rua Natal Justino da Costa, 990 - Unaí - MG","(38) 3676-6690",,,
"CJ Locadora e - Aluguel de Mesas Cadeiras Freezers e Caixas Térmicas","Avenida Tancredo Neves, 687 - Unaí - MG","(38) 99909-9548",,,
"Clicknet Informática","Rua Aldeia, 110 - Centro - Unaí - MG","(38) 3677-5798",,,
"Clia Braga Produções","Rua Djalma Torres, 409 - Unaí - MG","(38) 3677-7199",,,
"Climar Ar Condicionado","Rua Cândido C de Oliveira, 110 - Unaí - MG","(38) 3676-1427",,,
"Clínica Clinap Tratamento Dependentes Químicos","Rua F, Quadra 04 Chácara 06 - Unaí - MG","(38) 3676-7793",,,
"Clínica de Fisioterapia Harmonia do Corpo","Rua Nossa Senhora do Carmo, 110 - Unaí - MG","(38) 3676-7660",,,
"Clínica de Fisioterapia Reabilitar","Rua Celina Lisboa Frederico, 459 - Unaí - MG","(38) 3676-4304",,,
"Clínica de Beleza","Rua Djalma Torres, 823 - Unaí - MG","(38) 3676-2150",,,
"Clinica de Tânsito do Noroeste","Rua São José, 668 - Unaí - MG","(38) 3677-1212",,,
"FBO Odontologia Clínica Dr. Fábio Barbosa de Oliveira","Rua Nossa Senhora do Carmo, 224 - Unaí - MG","(38) 3676-5343",,,
"Clínica Foto Depilação Não + Pêlo","Rua Nossa Senhora do Carmo, 224 - Centro - Unaí - MG","(38) 3676-1833",,,
"Clínica Médica Dr Sérgio Matsuura e Outros","Rua Calixto Martins de Melo, 116 - Unaí - MG","(38) 3676-3277",,,
"Clínica Nucleus","Rua Virgílio Justiniano Ribeiro, 197 - Unaí - MG","(38) 3676-6434","(38) 98804-4284",https://www.instagram.com/clinica.nucleus,
"Clínica Odontológica Dr. Felipe C. Almeida","Rua Aldeia, 158 - Unaí - MG","(38) 3676-4821",,,
"Dentista Dr. José Humberto de Faria","Rua Djalma Torres, 274 - Centro - Unaí - MG","(38) 3676-1438",,,
"Dentista Dr. Mauro Lúcio M. de Faria","Rua Djalma Torres, 274 - Centro - Unaí - MG","(38) 3676-1438",,,
"Dentista Dr. Fábio de Freitas Faria","Rua Djalma Torres, 274 - Centro - Unaí - MG","(38) 3676-1438",,,
"Dentista Dr. Mauro Henrique G. Faria","Rua Djalma Torres, 274 - Centro - Unaí - MG","(38) 3676-1438",,,
"Clínica Odontológica Dr. Marcelo Coelho Silva","Avenida Governador Valadares, 1480 - Centro - Unaí - MG","(38) 3676-7828",,,
"Clínica Odontológica Dr. Frederico Oliveira","Rua Virgílio Justiniano Ribeiro, 197 - Unaí - MG","(38) 3677-4284",,,
"Clínica Odontológica Melo Silva","Rua Celina Lisboa Frederico, 373 - Centro - Unaí - MG","(38) 3677-3483",,,
"Clínica Odontológica Minas Sorriso","Rua Celina Lisboa Frederico, 65 - Centro - Unaí - MG","(38) 3676-3761",,,
"Clínica Odontológica Orto Face","Rua Celina Lisboa Frederico, 111 - Centro - Unaí - MG","(38) 3676-9115",,,
"Clínica Pediátrica Dr. Claudinei Luíz","Rua Nossa Senhora do Carmo, 224 - Unaí - MG","(38) 3677-7201",,,
"Clínica Terapêutica Rosa Mística","Rua Ouro Preto, 68 - Unaí - MG","(38) 3676-5121",,,
"Clínica Veterinária Vet Clin","Avenida José Luiz Adjuto, 675 - Unaí - MG","(38) 3677-7202",,,
"Clínica Odontológica Volte a Sorrir","Avenida Governador Valadares, 681 - Unaí - MG","(38) 3676-6362",,,
"Unadoc Clínica Radiológica","Rua Celina Lisboa Frederico, 111 - Unaí - MG","(38) 3677-7077",,,
"Clínica Clinor","Avenida José Luiz Adjuto, 92 - Unaí - MG","(38) 3676-1416",,,
"Closet Boutique","Rua Nossa Senhora do Carmo, 54 - Unaí - MG","(38) 3676-6641",,,
"Clínica Ras","Rua Celina Lisboa Frederico, 373 - Unaí - MG","(38) 3676-9496",,,
"Itapuã Iate Clube","Rua Ursulino Brochado, 267 - Unaí - MG","(38) 3676-1124",,,
"CNAA Aviação Agrícola","Rua Canabrava, 36 - Unaí - MG","(38) 3676-5096",,,
"CNAA Aviação Agrícola","Fazenda Nossa Senha ApareciaUnaí - MG","(38) 3505-1121",,,
"Coagril - Cooperativa Agrícola de Unaí","Rodovia Br 251, KM 59 - Unaí - MG","(38) 2102-2249",,,
"Coanor - Cooperativa Agropecuária do Noroeste Mineiro","Avenida Cabo Verde, s/n - Unaí - MG","(38) 3676-2048",,,
"Coagril - Cooperativa Agrícola de Unaí","Avenida Cabo Verde, 700 - Unaí - MG","(38) 3676-8933",,,
"COB Minas Serviços","Rua Celina Lisboa Frederico, 111 - Unaí - MG","(38) 3676-1592",,,
"Coimbra Fashion","Avenida Castro Alves, 10 - Unaí - MG","(38) 3676-9366",,,
"Coisas de Lá","Rua Celina Lisboa Frederico, 54 - Unaí - MG","(38) 3676-3337",,,
"Colchões Ortobom","Rua Djalma Torres, 34 - Unaí - MG","(38) 3676-4452",,,
"Colchões Orthocrin e Móveis","Avenida Governador Valadares, 528 - Centro - Unaí - MG","(38) 3676-7006",,,
"Colégio Athos","Rua Nossa Senhora do Carmo, 460 - Centro - Unaí - MG","(38) 3676-1362",,https://www.instagram.com/colegioathos/,https://www.athosunai.com.br
"Supermercado Colúmbia","Rua Canabrava, 1271 - Cachoeira - Unaí, MG","(38) 3676-6179","(38) 9850-9562",https://www.instagram.com/supermercadocolumbia,
"Comando Auto Peças e Mecânica","Rua Professora Georgina Pimentel, 78 - Unaí - MG","(38) 3676-5631",,,
"Combustíveis - Branca Transportes","Rodovia Br 251, km 876, nº 980 - Unaí - MG","(38) 3676-7888",,,
"Comercial Esquina","Rua Frei Francisco, 5 - Unaí - MG","(38) 3676-4232",,,
"Comercial Farias","Rua Serra, 1181 - Unaí - MG","(38) 3677-3465",,,
"Comercial Matheus","Rua Serra, 900 - Unaí - MG","(38) 3677-3525",,,
"Comercial Paiva","Rua Serra, 2138 - Unaí - MG","(38) 3677-3897",,,
"Armazém Comercial Primavera","Rua Jabuticabas, 205 - Primavera - Unaí - MG","(38) 3677-3045",,,
"Comercial Rupiado","Rua Rio Preto, 157 - Unaí - MG","(38) 3676-8400",,,
"Comercial Santa Clara","Rua Celina Lisboa Frederico, 638 - Unaí - MG","(38) 3676-1845",,,
"Comercial Santos","Avenida Governador Valadares, 61 - Unaí - MG","(38) 3676-7571",,,
"Comilão Lanches","Praça JK, S/N - Unaí - MG","(38) 3676-9772",,,
"Companhia dos Bichos - Pet Shop e Veterinária","Rua Eli Pinto de Carvalho, 815 - Unaí - MG","(38) 3677-2337",,,
"Complexo Educacional Damásio de Jesus","Rua Celina Lisboa Frederico, 69 - Centro - Unaí - MG","(38) 3676-3982",,,www.damasio.com.br
"Bob Computadores","Rua Canabrava, 332 - Centro - Unaí - MG","(38) 3676-6990",,,
"Karbopress Informática","Rua Canabrava, 379 - Centro - Unaí - MG","(38) 3676-4290",,,
"KDX Informática","Rua Nossa Senhora do Carmo, 31 - Centro - Unaí - MG","(38) 3676-7915",,,
"Megabyte Informática","Rua Canabrava, 447 - Unaí - MG","(38) 3676-3935",,,
"Comunidade Terapêutica Mente Aberta","Rua Calixto Martins de Melo, 517 - Unaí - MG","(38) 3676-3656",,,
"Concreto Polido e Granitina Premoart","Rua Paracatu, 990 - Unaí - MG","(38) 3676-8888",,,
"Votumix Concreto e Argamassa","Avenida Cabo Verde, 860 - Unaí - MG","(38) 3676-6211",,,
"Condemil Contabilidade","Rua Celina Lisboa Frederico, 64 - Centro - Unaí - MG","(38) 3676-4179",,,
"Condomínio do Edifício Teto Real","Rua Nossa Senhora do Carmo, 168 - Unaí - MG","(38) 3676-4089",,,
"Condomínio Residencial Alamanda","Rua Canabrava, 312 - Centro - Unaí - MG","(38) 3676-6257",,,
"Condomínio Residencial Vila Rica","Rua BuganvilesUnaí - MG","(38) 3676-2949",,,
"Condomínio Rural Rio Preto","Rua Virgílio Justiniano Ribeiro, 433 - Unaí - MG","(38) 3676-2201",,,
"Condomínio Rural Unaí","Avenida Governador Valadares, 1847 - Unaí - MG","(38) 3676-5151",,,
"Condomínio Rural União","Rua Djalma Torres, 517 - Unaí - MG","(38) 3676-2630",,,
"Conexão Educacional","Rua Alba Gonzaga, 627 - Unaí - MG","(38) 3676-4048",,,
"Love Sexy - Sex Shop","Rua Alba Gonzaga, 100 - Unaí - MG","(38) 3676-6687","(38) 99915-5598",https://www.instagram.com/lovesexy.sexshop,
"Ordic Confecções","Avenida José Luiz Adjuto, 25 - Unaí - MG","(38) 3676-7440",,,
"Zico Confecções","Rua Prefeito João Costa, 1286 - Unaí - MG","(38) 3676-2324",,,
"Loja do Zico Confecções","Avenida Governador Valadares, 479 - Unaí - MG","(38) 3676-3261",,,
"Zico Esporte","Avenida Governador Valadares, 1237 - Unaí - MG","(38) 3676-4964",,,
"Zico Materiais Elétricos e Construção","Avenida Castelo Branco, 66 - Unaí - MG","(38) 3676-8182",,,
Confederal,"Rua Marechal Rondom, 197 - Unaí - MG","(38) 3676-7277",,,
"Congregação Cristã do Brasil","Rua Djalma Torres, 1240 - Unaí - MG","(38) 3676-0881",,,
"Conselho Central de Unaí da SSVP - Sociedade São Vicente de Paulo","Rua Frei Anselmo, 613 - Unaí - MG","(38) 3676-3229",,,
"Conselho Central de Unaí da SSVP - Sociedade São Vicente de Paulo","Rua São José, 296 - Unaí - MG","(38) 3676-3594",,,
"Conselho Central de Unaí da SSVP - Sociedade São Vicente de Paulo","Avenida José Luiz Adjuto, 597 - Unaí - MG","(38) 3676-5674",,,
"Construtora Oliveira","Rua Patos de Minas, 831 - Unaí - MG","(38) 99821-4917","(38) 99821-4917",https://www.instagram.com/construtoraoliveiraa__j,
"Terra Construtora - Const. de Barragens para Irrigação","Rua Aldeia, 255 - Unaí - MG","(38) 3676-6737",,,
Construcenter,"Avenida Governador Valadares, 1564 - Centro - Unaí - MG","(38) 3676-6190",,,
"Construpiso Materiais de Construção","Avenida Governador Valadares, 1772 - Unaí - MG","(38) 3676-1204","(38) 99810-4619",https://www.instagram.com/construpisounai,
"Construtora Canaã","Rua Matias Nunes Souza, 227 - Unaí - MG","(38) 3676-5770",,,
"Consultoria Previdenciária","Rua Djalma Torres, 386 - Unaí - MG","(38) 3676-9008",,,
"SB Consultoria e Recursos Humanos","Rua Virgílio Justiniano Ribeiro, 1118 - Unaí - MG","(38) 3676-5234",,,
"Consultório Dentário Sílvio Matusita","Rua São José, 300 - Unaí - MG","(38) 3676-8235",,,www.construtorasigma.com.br
"Consultório Dra Aline Brum Del Nero","Rua Djalma Torres, 1237 - Unaí - MG","(38) 3676-5325",,,
"Consultório Dra Bernadete","Rua Nossa Senhora do Carmo, 224 - Unaí - MG","(38) 3676-5102",,,
"Consultório Dra Sandra Mitsue Hashimoto","Rua Djalma Torres, 251 - Unaí - MG","(38) 3676-1862",,,
